lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-481.53471412472516,-0.22964988908198575,-0.7476224383335446,82,10,1,0,0.00824117660522461,0.4227597713470459,0,EIG-0|10|5|3|1,0,
-481.473607600955,-0.19800628126353337,-0.19800628126353337,82,1,1,0,0.006164073944091797,0.431215763092041,0,EIG-0|10|5|3|1,0,
-481.41369673435446,-0.17677260810003034,-0.5520850861970477,82,5,1,0,0.004732847213745117,0.43831682205200195,0,EIG-0|10|5|3|1,0,
-481.31031049060323,-0.15632791342756644,-0.524278161878819,82,5,1,0,0.008384943008422852,0.4489920139312744,0,EIG-0|10|5|3|1,0,
-481.152806460988,-0.21356708393589258,-0.5072209228842374,82,3,1,0,0.007712841033935547,0.45905375480651855,0,EIG-0|10|5|3|1,0,
-481.0693423344209,-0.15229201488668903,-0.49773142571380186,82,5,1,0,0.005635976791381836,0.4671287536621094,0,EIG-0|10|5|3|1,0,
-480.9493341822353,-0.20426959110108237,-0.5828934597006981,82,5,1,0,0.008738040924072266,0.4785327911376953,0,EIG-0|10|5|3|1,0,
-480.8888442972444,-0.15716795025598174,-0.5989202873803173,82,5,1,0,0.006712913513183594,0.48777294158935547,0,EIG-0|10|5|3|1,0,
-480.7960148890076,-0.2089954576635327,-0.4456892795403134,82,3,1,0,0.007668018341064453,0.49782466888427734,0,EIG-0|10|5|3|1,0,
-480.70958324724705,-0.0662546986056706,-0.2352915730485434,82,9,1,0,0.009719133377075195,0.5097017288208008,0,EIG-0|10|5|3|1,0,
-480.657033725959,-0.08391049302264805,-0.25878818138040116,82,9,1,0,0.00871586799621582,0.5205979347229004,0,EIG-0|10|5|3|1,0,
-480.60652279950386,-0.10726700022391483,-0.27795102859533655,82,5,1,0,0.007986068725585938,0.5307378768920898,0,EIG-0|10|5|3|1,0,
-480.56749545251654,-0.07758464610912036,-0.07758464610912036,82,1,1,0,0.007776021957397461,0.540665864944458,0,EIG-0|10|5|3|1,0,
-480.55122185363064,-0.07481371701079913,-0.26553176799241823,82,10,1,0,0.006236076354980469,0.5490639209747314,0,EIG-0|10|5|3|1,0,
-480.4867424639452,-0.06856979589833595,-0.20392278484050225,82,8,1,0,0.009035825729370117,0.5602476596832275,0,EIG-0|10|5|3|1,0,
-480.44338475271854,-0.03808482442921408,-0.16191584343923768,82,10,1,0,0.009428977966308594,0.5718288421630859,0,EIG-0|10|5|3|1,0,
-480.40835547801953,-0.03129238222320826,-0.07951144041479875,82,3,1,0,0.009567975997924805,0.5835566520690918,0,EIG-0|10|5|3|1,0,
-480.38976346202696,-0.03737208004359073,-0.08307027856720281,82,3,1,0,0.006890058517456055,0.5927648544311523,0,EIG-0|10|5|3|1,0,
-480.36724431168113,-0.02525655684052234,-0.08625474694968731,82,5,1,0,0.008068084716796875,0.6064519882202148,0,EIG-0|10|5|3|1,0,
-480.3429382754864,-0.029446195101758266,-0.07893419643012209,82,3,1,0,0.009813070297241211,0.6188018321990967,0,EIG-0|10|5|3|1,0,
-480.3212543828201,-0.02430072561030793,-0.10851992289686424,82,10,1,0,0.008996009826660156,0.6303718090057373,0,EIG-0|10|5|3|1,0,
-480.3011187598356,-0.04214965390133115,-0.10052539801979628,82,5,1,0,0.009563922882080078,0.6424708366394043,0,EIG-0|10|5|3|1,0,
-480.27689088141744,-0.03233349918116204,-0.1059651096487979,82,8,1,0,0.008762836456298828,0.6538398265838623,0,EIG-0|10|5|3|1,0,
-480.2561917016779,-0.026242360051049768,-0.058648254582504944,82,3,1,0,0.009079933166503906,0.6653168201446533,0,EIG-0|10|5|3|1,0,
-480.2499872300297,-0.018915504967422895,-0.018915504967422895,82,1,1,0,0.008018970489501953,0.6757829189300537,0,EIG-0|10|5|3|1,0,
-480.2458629042638,-0.01760699552988042,-0.01760699552988042,82,1,1,0,0.0066869258880615234,0.6849379539489746,0,EIG-0|10|5|3|1,0,
-480.2420848908163,-0.018203348511222735,-0.05783974284231508,82,5,1,0,0.006323099136352539,0.6937758922576904,0,EIG-0|10|5|3|1,0,
-480.2374665555718,-0.018285246537163898,-0.040877267489515395,82,3,1,0,0.00985097885131836,0.7061188220977783,0,EIG-0|10|5|3|1,0,
-480.23243022030204,-0.02336929736919587,-0.04797779899368258,82,3,1,0,0.0068700313568115234,0.7153186798095703,0,EIG-0|10|5|3|1,0,
-480.2268901345768,-0.022275671633346837,-0.04848775240211566,82,3,1,0,0.0072269439697265625,0.7247376441955566,0,EIG-0|10|5|3|1,0,
-480.22058785517004,-0.018324208254479057,-0.0831183736825941,82,9,1,0,0.008050918579101562,0.7349758148193359,0,EIG-0|10|5|3|1,0,
-480.21040470294815,-0.016734357312621375,-0.0745581324890933,82,9,1,0,0.009423017501831055,0.7465658187866211,0,EIG-0|10|5|3|1,0,
-480.199474254684,-0.017738972169788654,-0.09327737677275712,82,11,1,0,0.011565923690795898,0.7603228092193604,0,EIG-0|10|5|3|1,0,
-480.19028910610206,-0.03474312332692434,-0.11566828421170737,82,10,1,0,0.009135007858276367,0.771636962890625,0,EIG-0|10|5|3|1,0,
-480.18410995863286,-0.02103914743611588,-0.050569173276721044,82,3,1,0,0.008258819580078125,0.7820737361907959,0,EIG-0|10|5|3|1,0,
-480.1782239038105,-0.02670521078831316,-0.060017206333338825,82,3,1,0,0.009328126907348633,0.7935669422149658,0,EIG-0|10|5|3|1,0,
-480.1707702784605,-0.017919600705047098,-0.08775214536389517,82,10,1,0,0.010873794555664062,0.8070118427276611,0,EIG-0|10|5|3|1,0,
-480.1621355814865,-0.021528749849125232,-0.09079571255515066,82,8,1,0,0.011715888977050781,0.8222947120666504,0,EIG-0|10|5|3|1,0,
-480.1538831049856,-0.01688951244528515,-0.08649173231039187,82,9,1,0,0.00980997085571289,0.8346097469329834,0,EIG-0|10|5|3|1,0,
-480.1448377451345,-0.019240948968955493,-0.07490538809486111,82,10,1,0,0.010899066925048828,0.848059892654419,0,EIG-0|10|5|3|1,0,
-480.1377765531465,-0.008684615415910198,-0.036249367373224595,82,10,1,0,0.011787891387939453,0.8624136447906494,0,EIG-0|10|5|3|1,0,
-480.13250394172263,-0.01338404606216679,-0.04469929629499257,82,9,1,0,0.011270999908447266,0.87624192237854,0,EIG-0|10|5|3|1,0,
-480.12309046952413,-0.014919146893706214,-0.033810989358114996,82,3,1,0,0.012274980545043945,0.8911528587341309,0,EIG-0|10|5|3|1,0,
-480.1211975575841,-0.011451205675524413,-0.04901459415856277,82,8,1,0,0.00882411003112793,0.9028618335723877,0,EIG-0|10|5|3|1,0,
-480.114229272222,-0.012485158924720106,-0.051674383715091705,82,10,1,0,0.011782169342041016,0.9171216487884521,0,EIG-0|10|5|3|1,0,
-480.1067509491025,-0.009446150682283116,-0.02649820404347694,82,3,1,0,0.011519908905029297,0.931046724319458,0,EIG-0|10|5|3|1,0,
-480.1031818798469,-0.018389330476451644,-0.060449757035080376,82,9,1,0,0.009521007537841797,0.9427525997161865,0,EIG-0|10|5|3|1,0,
-480.0966572191853,-0.012003759245527192,-0.044432809988760556,82,10,1,0,0.011384963989257812,0.9563188552856445,0,EIG-0|10|5|3|1,0,
-480.09010789430073,-0.008983307041079035,-0.02831379243661227,82,5,1,0,0.01417088508605957,0.9726836681365967,0,EIG-0|10|5|3|1,0,
-480.08161945757644,-0.007006643304946268,-0.007006643304946268,82,1,1,0,0.013278961181640625,0.9883008003234863,0,EIG-0|10|5|3|1,0,
-480.0785375844409,-0.008773233350885022,-0.018796012215422084,82,3,1,0,0.010337114334106445,1.0009689331054688,0,EIG-0|10|5|3|1,0,
-480.07508064111767,-0.003937637129597892,-0.009185038287210248,82,3,1,0,0.012986898422241211,1.0164029598236084,0,EIG-0|10|5|3|1,0,
-480.0705834517373,-0.00495391201986188,-0.011596089615282412,82,3,1,0,0.010519981384277344,1.0295329093933105,0,EIG-0|10|5|3|1,0,
-480.0658856345834,-0.004572845904520088,-0.012387739812787898,82,3,1,0,0.013047218322753906,1.0456116199493408,0,EIG-0|10|5|3|1,0,
-480.06182979746865,-0.00488795519644078,-0.009711015788900518,82,3,1,0,0.012852191925048828,1.0612165927886963,0,EIG-0|10|5|3|1,0,
-480.05800475292943,-0.007814700768560223,-0.02325967968647404,82,10,1,0,0.012397050857543945,1.0764107704162598,0,EIG-0|10|5|3|1,0,
-480.0532247603636,-0.006318845018753496,-0.006318845018753496,82,1,1,0,0.010398149490356445,1.089390754699707,0,EIG-0|10|5|3|1,0,
-480.05083688470916,-0.004712085610176468,-0.004712085610176468,82,1,1,0,0.010200023651123047,1.1025919914245605,0,EIG-0|10|5|3|1,0,
-480.0498149090209,-0.004481683979927873,-0.015581619557891533,82,5,1,0,0.0077359676361083984,1.1129999160766602,0,EIG-0|10|5|3|1,0,
-480.0445994498107,-0.0016147842248114496,-0.005303834832692339,82,9,1,0,0.01783013343811035,1.1335668563842773,0,EIG-0|10|5|3|1,0,
-480.0429441936427,-0.0015951560142588406,-0.0015951560142588406,82,1,1,0,0.01698899269104004,1.15386962890625,0,EIG-0|10|5|3|1,0,
-480.04257595259446,-0.0014220929765836785,-0.003367300022204366,82,3,1,0,0.007308006286621094,1.1637566089630127,0,EIG-0|10|5|3|1,0,
-480.0413188364945,-0.0015485967647082917,-0.0015485967647082917,82,1,1,0,0.011866092681884766,1.1782588958740234,0,EIG-0|10|5|3|1,0,
-480.0403903401831,-0.0014245966609958513,-0.0014245966609958513,80,1,1,0,0.010385990142822266,1.1913578510284424,0,EIG-0|10|5|3|1,0,
-480.0399646388553,-0.001430340299305895,-0.004972021660309717,82,10,1,0,0.010457038879394531,1.205030918121338,0,EIG-0|10|5|3|1,0,
-480.03831433266174,-0.0015054150535655309,-0.005432876897291707,82,9,1,0,0.01806020736694336,1.2258455753326416,0,EIG-0|10|5|3|1,0,
-480.0361698046828,-0.0011375327748523389,-0.002805854221750165,82,3,1,0,0.019463777542114258,1.2481226921081543,0,EIG-0|10|5|3|1,0,
-480.0346267468697,-0.0016640484850012397,-0.003950104530724437,82,3,1,0,0.015423059463500977,1.2663867473602295,0,EIG-0|10|5|3|1,0,
-480.0340628927709,-0.0011586193058195973,-0.0011586193058195973,82,1,1,0,0.01105499267578125,1.2801039218902588,0,EIG-0|10|5|3|1,0,
-480.0339292120853,-0.001224738732269875,-0.0048608448730095444,82,10,1,0,0.005222797393798828,1.288057804107666,0,EIG-0|10|5|3|1,0,
-480.03338263963786,-0.0009233009473962606,-0.003145704216121913,82,10,1,0,0.013216018676757812,1.304048776626587,0,EIG-0|10|5|3|1,0,
-480.03232298106644,-0.0009983053544228872,-0.003763410671308544,82,9,1,0,0.012830972671508789,1.3196706771850586,0,EIG-0|10|5|3|1,0,
-480.03144702143766,-0.001180149958421673,-0.0038288184064740756,100,5,1,0,0.013715982437133789,1.3363215923309326,0,EIG-0|10|5|3|1,0,
-480.03055712937254,-0.0007962505460271777,-0.0007962505460271777,100,1,1,0,0.022860050201416016,1.3616127967834473,0,EIG-0|10|5|3|1,0,
-480.03027949242306,-0.000788201291053164,-0.0028066214539062473,100,10,1,0,0.008285999298095703,1.372269630432129,0,EIG-0|10|5|3|1,0,
-480.0296960072306,-0.000742717850602007,-0.0022749135074403857,82,5,1,0,0.020782947540283203,1.3952767848968506,0,EIG-0|10|5|3|1,0,
-480.0288136763113,-0.0008338485323617859,-0.003114640238681633,100,10,1,0,0.013757944107055664,1.411421775817871,0,EIG-0|10|5|3|1,0,
-480.028070765645,-0.0007501454272250137,-0.0019268199015512956,82,3,1,0,0.015610218048095703,1.4292397499084473,0,EIG-0|10|5|3|1,0,
-480.02744652185436,-0.0009121200458765226,-0.002882040198676716,100,5,1,0,0.012431859970092773,1.444139003753662,0,EIG-0|10|5|3|1,0,
-480.0270035239758,-0.000626705618042823,-0.0016647238378500748,82,3,1,0,0.014953136444091797,1.4620568752288818,0,EIG-0|10|5|3|1,0,
-480.0266321994288,-0.0006215666444689803,-0.002857849813147273,100,10,1,0,0.013067960739135742,1.4778566360473633,0,EIG-0|10|5|3|1,0,
-480.0263365079524,-0.0009133335932765518,-0.003322071757115064,82,9,1,0,0.015618085861206055,1.496046781539917,0,EIG-0|10|5|3|1,0,
-480.0259264781831,-0.0009412006418043804,-0.002970685707177809,82,5,1,0,0.014261960983276367,1.5128297805786133,0,EIG-0|10|5|3|1,0,
-480.0257163275672,-0.0008844813832102645,-0.0008844813832102645,82,1,1,0,0.008922100067138672,1.5242786407470703,0,EIG-0|10|5|3|1,0,
-480.02557370699185,-0.001097676461420596,-0.0032720388333099173,82,10,1,0,0.007355928421020508,1.5341298580169678,0,EIG-0|10|5|3|1,0,
-480.02542262323885,-0.0006289801838591618,-0.0012559571737546643,82,3,1,0,0.014000892639160156,1.5505919456481934,0,EIG-0|10|5|3|1,0,
-480.02530210390904,-0.0004626074376474522,-0.001874870613445463,82,10,1,0,0.009827136993408203,1.5629067420959473,0,EIG-0|10|5|3|1,0,
