dataset,matrix,s,n,m,mode,maxit,maxcpu,eigtol,lb,cpu,it,cpu/it,eigmin,status,Lb60,best,lb0,cpu0,cpub,cputotal,gc,Gc,Gc av,Gc60,Gc60 av
BOXQP_LARGEST,spar250-075-1,QP,251,0,LP-FROB-S,-1,1800,1E-06,-49543.77010678291,1827.7573592662811,96,18.937140653530758,-6.129332824683353,0,,-40665.66047931629,-148020.25,0.9662642478942871,0.9389808177947998,1828.7305839061737,0,0.92,0.92,,
BOXQP_LARGEST,spar250-075-1,QP,251,0,LP-EIG-0,-1,1800,1E-06,-45363.74471163233,1823.7789480686188,69,26.331732687742814,-6.433129303096926,0,,-40665.66047931629,-148020.25,1.0223569869995117,0.9003279209136963,1824.7061698436737,0,0.96,0.95,,
BOXQP_LARGEST,spar250-075-1,QP,251,0,LP-EIG-1,-1,1800,1E-06,-92193.25317710612,1829.4320962429047,129,14.082542242005815,-7.041223354062451,0,,-40665.66047931629,-148020.25,0.8942098617553711,0.8446328639984131,1830.3157291412354,0,0.52,0.52,,
BOXQP_LARGEST,spar250-075-1,QP,251,0,LP-EIG-0|50|20|10|5|1,-1,1800,1E-06,-42823.38824539806,1801.342314004898,81,22.14170566311589,-4.928140255324796,0,-88025.4696664549,-40665.66047931629,-148020.25,0.9611260890960693,0.8441810607910156,1802.2323460578918,0,0.98,0.98,0.56,0.52
BOXQP_LARGEST,spar250-075-2,QP,251,0,LP-FROB-0,-1,1800,1E-06,-40325.797595462995,1828.8695240020752,59,30.896658311455937,-4.660032297336016,0,,-40325.797595462995,-147251.75,0.899526834487915,0.8705179691314697,1829.7688069343567,0,1.00,,,
BOXQP_LARGEST,spar250-075-2,QP,251,0,LP-FROB-S,-1,1800,1E-06,-48484.94204079656,1819.3758821487427,98,18.46884610215012,-6.212540671310789,0,,-40325.797595462995,-147251.75,0.8954591751098633,0.8345098495483398,1820.237864971161,0,0.92,,,
BOXQP_LARGEST,spar250-075-2,QP,251,0,LP-EIG-0,-1,1800,1E-06,-45498.94945276002,1801.4976871013641,74,24.244369945010625,-6.719637821390445,0,,-40325.797595462995,-147251.75,0.8822321891784668,0.8314638137817383,1802.3529968261719,0,0.95,,,
BOXQP_LARGEST,spar250-075-2,QP,251,0,LP-EIG-1,-1,1800,1E-06,-91224.53716041606,1810.4438750743866,130,13.830125113633963,-7.044910703824093,0,,-40325.797595462995,-147251.75,0.8798882961273193,0.8235287666320801,1811.2972619533539,0,0.52,,,
BOXQP_LARGEST,spar250-075-2,QP,251,0,LP-EIG-0|50|20|10|5|1,-1,1800,1E-06,-43454.35411951882,1809.0741171836853,88,20.458376174623314,-4.499917043391047,0,-95175.8905976667,-40325.797595462995,-147251.75,0.9482190608978271,1.0034470558166504,1810.1066648960114,0,0.97,,0.49,
BOXQP_LARGEST,spar250-075-3,QP,251,0,LP-FROB-0,-1,1800,1E-06,-40379.10691543823,1822.8133261203766,64,28.381159216165543,-4.612354354176999,0,,-40379.10691543823,-147354.75,0.8900001049041748,0.8340070247650146,1823.6730608940125,0,1.00,,,
