dataset,matrix,s,n,m,mode,maxit,maxcpu,eigtol,lb,cpu,it,cpu/it,eigmin,status,lb0,cpu0,cpub,cputotal
BOXQP_SMALLEST,spar030-050-1,QP,31,0,LP-FROB-0,-1,1.2219700813293457,1e-06,-1314.0000047064966,0.16277694702148438,23,0.0055376965066661005,-9.803337196071934e-07,1,-1455.5,0.005727052688598633,0.011711835861206055,0.17497777938842773
BOXQP_SMALLEST,spar030-050-1,QP,31,0,LP-FROB-S,-1,1.2219700813293457,1e-06,-1314.0000185412264,0.336993932723999,49,0.0053356910238460615,-9.600486252950512e-07,1,-1455.5,0.005465030670166016,0.011031866073608398,0.3484938144683838
BOXQP_SMALLEST,spar030-050-1,QP,31,0,LP-EIG-0,-1,1.2219700813293457,1e-06,-1314.0000020252587,0.24466681480407715,31,0.006397039659561649,-8.853546759795828e-07,1,-1455.5,0.005465030670166016,0.011130094528198242,0.25626683235168457
BOXQP_SMALLEST,spar030-050-1,QP,31,0,LP-EIG-S,-1,1.2219700813293457,1e-06,-1314.000020411385,0.36559295654296875,50,0.005725665092468262,-9.060959361482506e-07,1,-1455.5,0.005619049072265625,0.011248111724853516,0.3776392936706543
BOXQP_SMALLEST,spar030-050-1,QP,31,0,LP-EIG-1,-1,1.2219700813293457,1e-06,-1314.0000050673862,0.38538289070129395,56,0.005276603358132499,-7.787462867878144e-07,1,-1455.5,0.005711793899536133,0.011120319366455078,0.3970789909362793
BOXQP_SMALLEST,spar030-050-1,QP,31,0,SOC-FROB-0,-1,1.2219700813293457,1e-06,-1325.719514360427,1.3555381298065186,5,0.26911540031433107,-0.21428535326511422,0,-1455.4987050395516,0.17798590660095215,0.012268781661987305,1.3681857585906982
BOXQP_SMALLEST,spar030-050-1,QP,31,0,SOC-EIG-0,-1,1.2219700813293457,1e-06,-1333.7277771903994,1.282588005065918,5,0.2547140121459961,-0.31426511835498866,0,-1455.4987050395516,0.18271374702453613,0.02923893928527832,1.3122317790985107
BOXQP_SMALLEST,spar030-050-1,QP,31,0,SOC-EIG-1,-1,1.2219700813293457,1e-06,-1438.1000838989537,1.4573090076446533,6,0.24114084243774414,-2.065348804162932,0,-1455.4987050395516,0.17892193794250488,0.011749029159545898,1.469452142715454
BOXQP_SMALLEST,spar030-050-2,QP,31,0,SDP,-1,-1.0,1e-06,-889.9999862802691,1.9385018348693848,1,1.9385018348693848,3.1496244355301336e-11,1,-889.9999862802691,1.9385018348693848,0.1630392074584961,2.103163242340088
BOXQP_SMALLEST,spar030-050-2,QP,31,0,LP-FROB-0,-1,2.103163242340088,1e-06,-921.6720968956676,2.105588912963867,120,0.015568796793619792,-0.33001835052929984,0,-1317.5,0.005999088287353516,0.011656045913696289,2.119070053100586
BOXQP_SMALLEST,spar030-050-2,QP,31,0,LP-FROB-S,-1,2.103163242340088,1e-06,-921.2150436858756,2.108736038208008,140,0.01300898449761527,-0.2526125291170589,0,-1317.5,0.0060880184173583984,0.01156306266784668,2.1215829849243164
BOXQP_SMALLEST,spar030-050-2,QP,31,0,LP-EIG-0,-1,2.103163242340088,1e-06,-936.9206763707565,2.099410057067871,116,0.01598224352146017,-0.4468849100406037,0,-1317.5,0.0060389041900634766,0.011581182479858398,2.112811803817749
BOXQP_SMALLEST,spar030-050-2,QP,31,0,LP-EIG-S,-1,2.103163242340088,1e-06,-925.912558774479,2.1134960651397705,142,0.01308206941040469,-0.28360360603472634,0,-1317.5,0.0057468414306640625,0.011358022689819336,2.125767946243286
BOXQP_SMALLEST,spar030-050-2,QP,31,0,LP-EIG-1,-1,2.103163242340088,1e-06,-924.9296105203263,2.1259279251098633,146,0.012867442549091496,-0.2290783947696278,0,-1317.5,0.005057096481323242,0.011101961135864258,2.137727975845337
BOXQP_SMALLEST,spar030-050-2,QP,31,0,SOC-FROB-0,-1,2.103163242340088,1e-06,-973.5817230156906,2.268131971359253,9,0.2501305474175347,-0.49901733145718846,0,-1317.4947728236602,0.2361619472503662,0.011767148971557617,2.2803568840026855
BOXQP_SMALLEST,spar030-050-2,QP,31,0,SOC-EIG-0,-1,2.103163242340088,1e-06,-1001.1158453738435,2.3449599742889404,9,0.25875692897372776,-0.7537796956924547,0,-1317.4947728236602,0.22641205787658691,0.012212038040161133,2.3580820560455322
BOXQP_SMALLEST,spar030-050-2,QP,31,0,SOC-EIG-1,-1,2.103163242340088,1e-06,-1271.2715515834377,2.220461130142212,8,0.27576789259910583,-1.8221032827452048,0,-1317.4947728236602,0.2362830638885498,0.011970758438110352,2.232851982116699
